attempt,symbol_set,train_bars,test_bars,embargo_bars,max_folds,feature_scale,min_signal,feature_blend_mode,feature_columns,feature_min_samples,predictor_quality_min_samples,predictor_quality_warmup_floor,min_hold_bars,min_reentry_gap_bars,max_turnover_ratio,entry_gate_usdt,status,run_id,folds,realized_pnl,fees,trades,win,lose,maxdd,sharpe,endeq,error
1,BTCUSDT:3,120,60,8,3,0.2,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625309335-a89abc7748a7,3,0,0.020002,2,0,0,0.0039,-0.0219,100.0197,
2,"BTCUSDT:3,ETHUSDT:1",120,60,8,3,0.2,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625311720-ceef6323b7f9,3,0,0.020002,4,0,0,0.0039,-0.0219,100.0197,
3,"BTCUSDT:3,ETHUSDT:1,SOLUSDT:1",120,60,8,3,0.2,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625313250-74c4128c61bb,3,0,0.020002,6,0,0,0.0039,-0.0219,100.0197,
4,"BTCUSDT:3,ETHUSDT:1,SOLUSDT:1,TRXUSDT:1,ADAUSDT:1",120,60,8,3,0.2,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625314777-aa8dad6d43f8,3,0,0.020002,10,0,0,0.0039,-0.0219,100.0197,
