symbol,run_id,folds,realized_pnl,fees,trades,win,lose,maxdd,sharpe,endeq
BTCUSDT,bt-BTCUSDT-1772619758056,3,-0.397751,0.289845,20,2,8,0.0042,-0.1331,99.9880
ETHUSDT,bt-ETHUSDT-1772619759683,3,-0.477029,0.329791,22,0,11,0.0046,-0.1850,99.9880
SOLUSDT,bt-SOLUSDT-1772619761070,3,-0.357173,0.239805,18,0,8,0.0025,-0.1734,99.9880
ADAUSDT,bt-ADAUSDT-1772619762421,3,-0.338748,0.249746,16,2,5,0.0034,-0.1220,99.9880
TRXUSDT,bt-TRXUSDT-1772619763777,3,-0.032871,0.039994,3,0,1,0.0005,-0.1049,100.0000
