exchange,environment,asset_class,product,api_base_url,notes
Binance,Spot Testnet,Crypto,BTCUSDT spot,https://testnet.binance.vision,existing integration baseline
Alpaca,Paper,Equity,AAPL paper trading,https://paper-api.alpaca.markets,stock demo venue
Alpaca,Paper,Option,AAPL call paper order,https://paper-api.alpaca.markets,options demo venue
Tradier,Sandbox,Equity,SPY paper trading,https://sandbox.tradier.com/v1,stock demo venue
Tradier,Sandbox,Option,SPY put paper order,https://sandbox.tradier.com/v1,options demo venue
Tastytrade,Sandbox,Option,QQQ option chain demo,https://api.cert.tastyworks.com,cert sandbox venue
