open_time,open,high,low,close
1771390800000,1999.18000000,1999.76000000,1997.12000000,1997.87000000
1771391100000,1997.87000000,1999.47000000,1997.19000000,1997.20000000
1771391400000,1997.20000000,2001.44000000,1996.96000000,1999.24000000
1771391700000,1999.24000000,2001.23000000,1998.21000000,2001.11000000
1771392000000,2001.10000000,2002.53000000,1999.64000000,2001.84000000
1771392300000,2001.83000000,2002.91000000,1997.88000000,1998.38000000
1771392600000,1998.37000000,1998.71000000,1996.00000000,1997.51000000
1771392900000,1997.51000000,1999.98000000,1997.30000000,1999.41000000
1771393200000,1999.41000000,2000.78000000,1998.56000000,1998.80000000
1771393500000,1998.79000000,2001.47000000,1997.63000000,1999.95000000
1771393800000,1999.95000000,1999.95000000,1996.99000000,1997.55000000
1771394100000,1997.56000000,1997.84000000,1996.21000000,1996.49000000
1771394400000,1996.50000000,1997.36000000,1995.56000000,1997.05000000
1771394700000,1997.05000000,2000.65000000,1996.94000000,1999.08000000
1771395000000,1999.07000000,2001.37000000,1998.85000000,2000.16000000
1771395300000,2000.16000000,2000.72000000,1998.84000000,1999.04000000
1771395600000,1999.04000000,2003.31000000,1999.03000000,2002.90000000
1771395900000,2002.90000000,2006.66000000,2001.66000000,2005.31000000
1771396200000,2005.30000000,2006.19000000,2003.09000000,2003.62000000
1771396500000,2003.63000000,2005.78000000,2002.50000000,2003.20000000
1771396800000,2003.19000000,2005.80000000,2003.19000000,2004.87000000
1771397100000,2004.88000000,2008.62000000,2004.75000000,2005.19000000
1771397400000,2005.20000000,2005.26000000,2003.01000000,2003.02000000
1771397700000,2003.02000000,2003.29000000,2002.00000000,2002.06000000
1771398000000,2002.06000000,2004.94000000,2002.05000000,2004.33000000
1771398300000,2004.32000000,2004.99000000,2002.27000000,2003.28000000
1771398600000,2003.28000000,2003.45000000,1999.81000000,1999.81000000
1771398900000,1999.81000000,2000.67000000,1998.80000000,1999.09000000
1771399200000,1999.10000000,2000.10000000,1996.81000000,1996.82000000
1771399500000,1996.81000000,1999.96000000,1996.71000000,1999.90000000
1771399800000,1999.89000000,2001.71000000,1999.44000000,1999.57000000
1771400100000,1999.57000000,2007.89000000,1998.98000000,2007.89000000
