attempt,symbol_set,train_bars,test_bars,embargo_bars,max_folds,feature_scale,min_signal,feature_blend_mode,feature_columns,feature_min_samples,predictor_quality_min_samples,predictor_quality_warmup_floor,min_hold_bars,min_reentry_gap_bars,max_turnover_ratio,entry_gate_usdt,status,run_id,folds,realized_pnl,fees,trades,win,lose,maxdd,sharpe,endeq,error
1,BTCUSDT,240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,10,ok,bt-v2-1772626388858-d8c917c59c13,1,0,0,0,0,0,0,0,100,
2,"BTCUSDT,ETHUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,10,ok,bt-v2-1772626390471-f161bdc08e79,1,0,0,0,0,0,0,0,100,
3,"BTCUSDT,ETHUSDT,BNBUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,10,ok,bt-v2-1772626391851-4d88f9096153,1,0,0,0,0,0,0,0,100,
4,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,USDCUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,10,ok,bt-v2-1772626393290-db3d2b467313,1,0,0,0,0,0,0,0,100,
5,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,USDCUSDT,SOLUSDT,TRXUSDT,DOGEUSDT,ADAUSDT,BCHUSDT,LINKUSDT,USDEUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,10,ok,bt-v2-1772626394708-35e090fff794,1,0,0,0,0,0,0,0,100,
6,BTCUSDT,240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,30,ok,bt-v2-1772626396141-597afe4ce2f6,1,0,0,0,0,0,0,0,100,
7,"BTCUSDT,ETHUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,30,ok,bt-v2-1772626397574-6386168f1e5d,1,0,0,0,0,0,0,0,100,
8,"BTCUSDT,ETHUSDT,BNBUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,30,ok,bt-v2-1772626398892-cb91efa7f54e,1,0,0,0,0,0,0,0,100,
9,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,USDCUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,30,ok,bt-v2-1772626400219-e724e5c8c38a,1,0,0,0,0,0,0,0,100,
10,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,USDCUSDT,SOLUSDT,TRXUSDT,DOGEUSDT,ADAUSDT,BCHUSDT,LINKUSDT,USDEUSDT",240,60,4,6,0.5,0.0004,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,0,0.2,8,4,0.6,30,ok,bt-v2-1772626401551-9a60886fc40b,1,0,0,0,0,0,0,0,100,
