attempt,symbol_set,train_bars,test_bars,embargo_bars,max_folds,feature_scale,min_signal,feature_blend_mode,feature_columns,feature_min_samples,predictor_quality_min_samples,predictor_quality_warmup_floor,min_hold_bars,min_reentry_gap_bars,max_turnover_ratio,entry_gate_usdt,status,run_id,folds,realized_pnl,fees,trades,win,lose,maxdd,sharpe,endeq,error
1,BTCUSDT:3,120,60,8,3,0.1,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625185675-2c041c95fcca,3,0,0.020002,2,0,0,0.0039,-0.0219,100.0197,
2,"BTCUSDT:3,ETHUSDT:1",120,60,8,3,0.1,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625187329-831febd1ad4b,3,0,0.020002,4,0,0,0.0039,-0.0219,100.0197,
3,BTCUSDT:3,120,60,8,3,0.2,0,additive,"volume,volume_sma_5,volume_std_5,volume_vs_sma_20,taker_buy_base_volume,taker_buy_quote_volume,quote_volume,number_of_trades",0,20,0.2,1,2,1,0,ok,bt-v2-1772625188741-652844f4a33a,3,0,0.020002,2,0,0,0.0039,-0.0219,100.0197,
